City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobart,AU,62.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
1,Kaitangata,NZ,51.85,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
2,Oussouye,SN,75.61,overcast clouds,12.485,-16.5469,Auberge du Routard
3,Bang Rakam,TH,87.8,few clouds,16.7585,100.1174,เมญ่า&เนย
6,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,Le four à pain
8,Sao Gotardo,BR,65.14,scattered clouds,-19.3111,-46.0489,HOTEL BOMTEMPO
9,Kodiak,US,54.91,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
10,Cururupu,BR,76.73,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
11,Samarai,PG,80.76,overcast clouds,-10.6167,150.6667,Nuli Sapi
12,Fairbanks,US,50.09,moderate rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
13,Gimli,CA,64.42,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
15,Ko Samui,TH,89.51,few clouds,9.5357,99.9357,The Passage
16,Dingle,PH,86.59,light rain,10.9995,122.6711,SEGAYA PROPERTY
17,Port Augusta,AU,76.84,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
18,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Zhezkazgan,KZ,69.78,clear sky,47.8043,67.7144,Hotel Zumrat
20,Port Hardy,CA,51.8,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
21,Katsuura,JP,77.02,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
22,Hermanus,ZA,53.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
24,Puerto Ayora,EC,66.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Nikolskoye,RU,51.69,overcast clouds,59.7035,30.7861,Tourist House - Sablino
26,Ahipara,NZ,59.9,light rain,-35.1667,173.1667,Ahipara Holiday Park
27,Victoria,HK,86.38,few clouds,22.2855,114.1577,Mini Central
29,Waingapu,ID,88.09,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
30,Abu Kamal,SY,89.24,few clouds,34.4506,40.9171,البوكمال
31,Caravelas,BR,66.52,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
32,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
33,Cape Town,ZA,58.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
34,Uusikaupunki,FI,50.43,overcast clouds,60.8004,21.4084,Hotel Aquarius
35,Busselton,AU,63.07,overcast clouds,-33.65,115.3333,Observatory Guest House
36,Esperance,AU,62.78,broken clouds,-33.8667,121.9,Hospitality Esperance
38,Novyy Oskol,RU,55.72,overcast clouds,50.7631,37.8691,Hotel Chistopol
39,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
40,Port Alfred,ZA,55.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
42,Hilo,US,76.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
44,Sibu,MY,89.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
45,Ginda,IN,75.09,few clouds,30.6945,78.4932,Bhandari hi tech plant nursary.
46,Chuy,UY,55.49,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
48,Samarinda,ID,84.47,broken clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
50,Rikitea,PF,72.84,clear sky,-23.1203,-134.9692,People ThankYou
52,Marawi,PH,80.26,scattered clouds,7.9986,124.2928,Derogongan Residence
53,Ribeira Grande,PT,73.94,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
54,Jamestown,US,65.79,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
55,Mapiripan,CO,73.27,scattered clouds,2.8892,-72.1256,Monserrate
56,Codrington,AU,62.71,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
58,Kudahuvadhoo,MV,82.4,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
60,Grenfell,AU,62.87,clear sky,-33.9,148.1667,Grenfell Royal Hotel
61,Brae,GB,51.24,overcast clouds,60.3964,-1.353,Busta House Hotel
62,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
63,Port Lincoln,AU,57.13,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
64,Gladstone,AU,82.78,scattered clouds,-23.85,151.25,Highpoint International Hotel
66,Alice Town,BS,83.46,few clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
67,Saint George,US,75.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
68,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
69,Dongsheng,CN,59.34,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
70,New Norfolk,AU,61.72,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
71,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
72,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
73,Port Elizabeth,ZA,57.49,scattered clouds,-33.918,25.5701,39 On Nile Guest House
74,Usinsk,RU,57.11,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
75,Lagoa,PT,72.75,scattered clouds,39.05,-27.9833,Casa Das Faias
78,Glendive,US,67.62,broken clouds,47.1053,-104.7125,Super 8 by Wyndham Glendive
80,Lompoc,US,67.01,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
81,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
82,Meadow Lake,US,74.8,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
84,Havelock,US,75.94,clear sky,34.8791,-76.9013,Sherwood Motel
87,Itoman,JP,84.58,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
88,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
91,Priargunsk,RU,60.73,broken clouds,50.3691,119.1012,24 Chasa
92,East London,ZA,54.54,scattered clouds,-33.0153,27.9116,Tu Casa
93,Lata,PT,65.07,broken clouds,40.1629,-8.3327,Casa Maquia
94,Tahe,CN,55.74,few clouds,52.3333,124.7333,塔河宾馆
96,Mount Pleasant,US,73.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
97,Laguna,US,64.58,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
98,Atuona,PF,76.53,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
100,Ilhabela,BR,65.23,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
101,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
102,Alugan,PH,85.41,overcast clouds,12.2188,125.4808,JM Lodge
103,Kyshtovka,RU,56.88,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
104,Tautira,PF,77.5,light rain,-17.7333,-149.15,Pension Oaoa
110,Vila Velha,BR,69.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
112,Kavaratti,IN,81.19,overcast clouds,10.5669,72.642,Green leaf
114,Hangu,CN,77.04,clear sky,39.2489,117.7892,Chongli Xuexiang Family Express Inn
116,Roma,US,63.95,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
118,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
119,Hobyo,SO,81.16,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
120,North Bend,US,57.92,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
122,Tecpan,GT,56.89,overcast clouds,14.7623,-90.9947,Villa San Ricardo
125,Sinnamary,GF,77.63,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
128,Coquimbo,CL,51.53,clear sky,-29.9533,-71.3436,Hotel San Juan
129,Tarbagatay,RU,62.13,overcast clouds,51.4803,107.3602,"Meditativnyy Tsentr ""Sansara"""
132,Nagato,JP,69.22,broken clouds,34.3833,131.2,いそう庵
133,Hasaki,JP,73.29,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
136,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
137,Aswan,EG,84.11,clear sky,24.0934,32.907,Nuba Nile
139,Guozhen,CN,62.8,overcast clouds,34.3659,107.359,Yucai Hotel
141,Verkh-Usugli,RU,54.37,overcast clouds,52.7,115.1667,"Gostinitsa ""Sever"""
142,Margate,GB,55.9,few clouds,51.3813,1.3862,Premier Inn Margate hotel
143,Hithadhoo,MV,82.36,broken clouds,-0.6,73.0833,Scoop Guest House
146,Nsanje,MW,87.87,clear sky,-16.92,35.262,Nsanje Discovery Lodge
147,Shimoda,JP,80.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
148,Cabo San Lucas,MX,80.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
150,Sao Filipe,CV,78.08,broken clouds,14.8961,-24.4956,Hotel Xaguate
151,Jalu,LY,81.03,clear sky,29.0331,21.5482,صاحبة الفخامة
152,Carnarvon,AU,69.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
155,Denpasar,ID,83.86,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
156,Safford,US,81.52,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
158,Senanga,ZM,76.64,broken clouds,-16.1167,23.2667,Zango lodge
159,Carndonagh,IE,53.22,broken clouds,55.25,-7.2667,Riversdale Country House
161,Arraial Do Cabo,BR,67.84,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
162,Princeton,US,82.99,clear sky,25.5384,-80.4089,American Best Inn
163,Winnemucca,US,64.45,clear sky,40.973,-117.7357,Winners Inn Casino
164,Itaituba,BR,76.08,scattered clouds,-4.2761,-55.9836,Hotel Campos
167,Butaritari,KI,82.58,few clouds,3.0707,172.7902,Isles Sunset Lodge
169,Faanui,PF,78.24,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
171,Nabire,ID,84.54,light rain,-3.3667,135.4833,Hotel Nusantara I
172,Taman,RU,65.44,scattered clouds,45.2117,36.7161,Staryy Gorod G. Taman'
174,Jinchang,CN,66.27,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
176,Isangel,VU,77.02,clear sky,-19.55,169.2667,Tanna Lodge
178,Sioux Lookout,CA,59.07,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
179,Kiunga,PG,86.9,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
180,Russell,US,71.2,mist,32.3502,-85.1999,Macs
182,Tefe,BR,73.36,broken clouds,-3.3542,-64.7114,Aracati Hotel
183,Takanabe,JP,78.69,scattered clouds,32.1333,131.5,Hotel AZ Miyazaki Takanabe
184,Wynyard,AU,55.96,overcast clouds,-41.0,145.7167,Burnie Airport Motel
186,Sabha,LY,83.19,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
187,Elliot Lake,CA,53.15,few clouds,46.3834,-82.6331,Paris Plaza
189,Pochutla,MX,75.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
190,Rocha,UY,57.06,broken clouds,-34.4833,-54.3333,Hotel Arrarte
192,Praia Da Vitoria,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
193,Hirara,JP,82.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
194,Uige,AO,67.98,broken clouds,-7.6087,15.0613,Hotel Catraio
195,Banikoara,BJ,70.52,light rain,11.2985,2.4386,Hôtel de l'UCom CVPC
196,Eastlake,US,65.21,mist,41.6539,-81.4504,Four Points by Sheraton Cleveland-Eastlake
197,Miyako,JP,61.84,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
198,Erzin,TR,78.3,clear sky,36.9559,36.2,Artemis Otel
200,Kushmurun,KZ,74.32,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
201,Bredasdorp,ZA,55.13,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
202,Bilma,NE,89.1,few clouds,18.6853,12.9164,Expeditions Ténére voyages
203,Geraldton,AU,66.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
204,Sorong,ID,84.25,light rain,-0.8833,131.25,Waigo Splash Hotel
205,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
207,Pascagoula,US,73.45,clear sky,30.3658,-88.5561,Regency Inn
208,La Victoria,VE,69.67,overcast clouds,10.2184,-67.3302,Hotel Hacienda El Recreo
209,Madarounfa,NE,73.09,clear sky,13.3087,7.156,Madarounfa centre ville
210,Les Cayes,HT,79.14,broken clouds,18.2,-73.75,Villa Orphee
211,Sonoita,MX,85.64,broken clouds,31.85,-112.8333,Hotel internacional
213,Channel-Port Aux Basques,CA,50.86,broken clouds,47.5702,-59.1367,St. Christopher's Hotel
214,Bengkulu,ID,82.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
215,Porbandar,IN,85.98,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
216,Vao,NC,74.23,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
217,Susanville,US,50.09,moderate rain,40.4163,-120.653,Comfort Inn & Suites
218,Cordoba,AR,51.24,scattered clouds,-31.4135,-64.1811,Hotel Sussex
220,Richards Bay,ZA,62.35,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
221,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
224,Ternate,ID,83.84,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
225,Broome,US,64.0,few clouds,42.2506,-75.833,Chenango Valley State Park
227,Pombia,IT,57.25,clear sky,45.653,8.6336,Albergo Fontana
229,Hovd,MN,63.34,clear sky,48.0056,91.6419,Hotel Khovd
231,Olafsvik,IS,50.76,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
232,Hokitika,NZ,54.43,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
235,Bac Lieu,VN,85.98,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
236,College,US,50.07,moderate rain,64.8569,-147.8028,Pike's Waterfront Lodge
237,Catamarca,AR,58.59,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
238,Cozumel,MX,75.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
241,Taltal,CL,53.29,few clouds,-25.4,-70.4833,Residencial Karime
243,Bethel,US,66.49,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
245,Wasilla,US,51.89,light rain,61.5814,-149.4394,Alaska's Select Inn Wasilla
246,Seoul,KR,74.59,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
247,Castro,BR,54.97,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
248,Hirtshals,DK,52.86,clear sky,57.5881,9.9592,Montra Skaga Hotel
251,Mattawa,US,62.02,clear sky,46.7379,-119.9028,Sun & Sand Mobile Home Park
253,Kamina,CD,76.86,scattered clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
254,Camacha,PT,69.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
257,Petropavlovka,RU,63.91,broken clouds,50.6114,105.3196,Tuyaa
258,Yinchuan,CN,67.21,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
259,Kyren,RU,60.26,overcast clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
261,Garissa,KE,79.93,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
262,Kipini,KE,79.09,broken clouds,-2.5257,40.5262,Delta Sea Mall
263,Cidreira,BR,59.79,overcast clouds,-30.1811,-50.2056,Hotel Castelo
264,Kyenjojo,UG,69.84,scattered clouds,0.6328,30.6214,"Rainbow Guest House, Kyenjonjo"
265,Marquette,US,60.76,broken clouds,46.5333,-87.6335,Al Quaal Lodge
267,Lahijan,IR,78.58,clear sky,37.2061,50.0029,Abrishami Hotel
268,Koryukivka,UA,50.67,broken clouds,51.7688,32.2481,Hotelʹ
270,Zhuhai,CN,87.51,few clouds,22.2769,113.5678,珠海粤财假日酒店
271,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
273,Zabid,YE,89.74,broken clouds,14.1951,43.3152,مغرب التريبه
274,Eldorado,BR,63.09,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
276,Portland,US,70.79,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
279,Chicama,PE,57.74,broken clouds,-7.8447,-79.1469,Balihai Bungalows
280,Meulaboh,ID,85.14,light rain,4.1363,96.1285,Kost Pria
281,Tabuk,PH,83.23,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
282,Touros,BR,74.25,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
284,Torbay,CA,50.29,broken clouds,47.6666,-52.7314,Gallows Cove
285,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
286,Pisco,PE,60.85,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
287,Westport,US,70.02,scattered clouds,41.1415,-73.3579,The Westport Inn
290,Sonqor,IR,78.1,scattered clouds,34.7837,47.6004,رینگ و لاستیک میلاد (غیاثی)
291,Ayagoz,KZ,73.51,clear sky,47.9714,80.4392,Gostinitsa Nur
292,Kenai,US,53.69,moderate rain,60.5544,-151.2583,Aspen Extended Stay Suites
294,Agapovka,RU,67.21,few clouds,53.2973,59.1348,Gostinitsa Zhkkh
296,Ponta Do Sol,PT,69.71,scattered clouds,32.6667,-17.1,Hotel do Campo
298,Antiguo Morelos,MX,75.11,scattered clouds,22.5495,-99.0812,Batallón Antiguo Morelos
299,Turayf,SA,71.85,clear sky,31.6725,38.6637,Al Mudawah Hotel
301,Datong,CN,64.11,few clouds,40.0936,113.2914,Holiday Inn Datong City Centre
302,Puerto El Triunfo,SV,75.92,broken clouds,13.2833,-88.55,Hotel Jardin
304,Plettenberg Bay,ZA,56.71,few clouds,-34.0527,23.3716,Thanda Vista B&B
305,Sao Joao Da Barra,BR,68.4,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
306,Grindavik,IS,51.75,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
308,Mayskiy,RU,53.01,scattered clouds,47.6931,40.1025,Dio Lakrua
309,Port Macquarie,AU,67.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
310,Venice,US,79.99,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
311,Jieshi,CN,83.84,broken clouds,22.8134,115.8257,Yuehai Hotel
313,Buchanan,LR,74.8,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
314,Nishihara,JP,83.86,shower rain,26.1842,127.7558,Minshuku Agaihama
315,Kodigenahalli,IN,80.33,overcast clouds,13.72,77.3903,S V M HER STYLE
317,Bereda,ES,58.14,few clouds,43.2686,-7.5406,Pazo de Verdes
318,Severo-Kurilsk,RU,59.07,overcast clouds,50.6789,156.125,Kak Doma
319,Massakory,TD,81.79,scattered clouds,12.996,15.7293,Chabakari - Am Doukhan
321,Killybegs,IE,54.43,overcast clouds,54.6333,-8.45,Tara Hotel
322,Santa Maria,BR,55.08,broken clouds,-29.6842,-53.8069,Hotel Morotin
323,Norwich,GB,51.85,few clouds,52.6278,1.2983,Holiday Inn Norwich City
324,Peterhead,GB,54.0,overcast clouds,57.5058,-1.7981,Palace Hotel
325,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
327,Vestmannaeyjar,IS,52.47,overcast clouds,63.4427,-20.2734,Glamping & Camping
328,Hami,CN,82.49,broken clouds,42.8,93.45,Laoyutang Resort
329,Haapiti,PF,74.93,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
330,San Jeronimo,PE,50.47,scattered clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
332,Rincon,US,73.85,clear sky,32.296,-81.2354,Days Inn Rincon
333,Bubaque,GW,80.67,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
334,The Pas,CA,55.42,overcast clouds,53.8251,-101.2541,Wescana Inn
335,Magdalena,PH,78.35,moderate rain,14.1999,121.429,Samparada & Gestiada Residences
336,Demba,CD,73.4,broken clouds,-5.51,22.2667,Guest House Du Cinquantenaire
337,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
338,Sitka,US,53.49,clear sky,57.0531,-135.33,Westmark Sitka
339,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
342,Champerico,GT,76.78,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
343,Nha Trang,VN,87.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
344,Conceicao Do Araguaia,BR,76.73,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
346,Prince Rupert,CA,58.69,clear sky,54.3161,-130.3201,Crest Hotel
347,Iquique,CL,59.04,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
348,Areia Branca,BR,71.24,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
349,Waipawa,NZ,54.63,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
351,Tuatapere,NZ,51.01,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
352,Coahuayana,MX,73.98,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
353,Balakovo,RU,65.1,broken clouds,52.0278,47.8007,Victoria Hotel
355,Belmonte,BR,70.72,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
356,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
357,Sumbe,AO,69.39,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
358,Luau,AO,74.35,few clouds,-10.7073,22.2247,Kimbo Hotel
360,Sukhumi,GE,72.61,overcast clouds,43.0033,41.0153,Leon Boutique Hotel
361,Catabola,AO,68.83,clear sky,-12.15,17.2833,Residencial Princesa
